# We use 12-month moving average values in the fit				
#				
# Year	log( CO2 / 277.3 )	Volcanic	Temperature (C) 	Uncertainty (C, 1 sigma)
1759.8333333333	-0.002337535	1.7848052556	7.2288785	0.56457438
1759.9166666667	-0.0023327548	1.7339953146	7.2844033	0.5703715672
1760	-0.0023278377	1.6846318339	7.1863456	0.5900426684
1760.0833333333	-0.0023227827	1.6366736357	7.2536569	0.5664064518
1760.1666666667	-0.0023175885	1.5900807143	7.1575456	0.5829130195
1760.25	-0.002312254	1.544814203	7.1467633	0.6343323523
1760.3333333333	-0.0023067781	1.5008363414	7.0400701	0.6346908111
1760.4166666667	-0.0023011597	1.4581104441	7.1623483	0.6299366021
1760.5	-0.0022953976	1.4166008702	7.5238624	0.6005209999
1760.5833333333	-0.0022894907	1.3762729932	7.7146277	0.6210240509
1760.6666666667	-0.0022834379	1.3370931727	7.7257409	0.6414146233
1760.75	-0.0022772379	1.2990287255	8.068634	0.6944154078
1760.8333333333	-0.0022708898	1.2620478993	8.0900278	0.7129979399
1760.9166666667	-0.0022643923	1.2261198455	8.2649794	0.6661136373
1761	-0.0022577443	1.1912145936	8.568428	0.59219806
1761.0833333333	-0.0022509447	2.2183193552	8.7265863	0.6245675451
1761.1666666667	-0.0022439924	3.216184438	8.8499517	0.6606148387
1761.25	-0.0022368862	4.185642239	8.898304	0.6848108421
1761.3333333333	-0.0022296249	5.1275014582	8.886075	0.6728738269
1761.4166666667	-0.0022222075	6.0425477738	8.8932867	0.6334132424
1761.5	-0.0022146328	6.9315444969	8.5721331	0.6089735812
1761.5833333333	-0.0022068997	7.7952332091	8.916564	0.6449287482
1761.6666666667	-0.002199007	8.6343343802	8.9610586	0.7487168871
1761.75	-0.0021909536	9.4495479697	8.6518354	0.7767957727
1761.8333333333	-0.0021827384	10.2415540108	8.8053389	0.7949344611
1761.9166666667	-0.0021743603	11.0110131774	8.6776524	0.7987275456
1762	-0.0021658181	11.7585673351	8.4787397	0.874770889
1762.0833333333	-0.0021571106	11.4238237482	8.256197	0.9161581553
1762.1666666667	-0.0021482368	11.0986096615	8.1813765	0.8207274834
1762.25	-0.0021391955	10.7826537886	8.0155687	0.7307514413
1762.3333333333	-0.0021299856	10.475692566	7.8999538	0.7364037919
1762.4166666667	-0.0021206059	10.1774699336	7.9493203	0.784407396
1762.5	-0.0021110553	9.8877371206	8.2157793	0.7611623508
1762.5833333333	-0.0021013327	9.6062524384	7.8307147	0.7087130203
1762.6666666667	-0.002091437	9.3327810787	7.7036853	0.605313849
1762.75	-0.002081367	9.0670949177	7.6491122	0.5569048115
1762.8333333333	-0.0020711215	8.808972326	7.4604263	0.5463459729
1762.9166666667	-0.0020606996	8.5581979835	7.3744054	0.578588709
1763	-0.0020500999	8.3145626997	7.2643447	0.5566681978
1763.0833333333	-0.0020393215	8.0778632395	7.3155346	0.5951522237
1763.1666666667	-0.0020283631	7.8479021534	7.326695	0.6469422571
1763.25	-0.0020172236	7.6244876131	7.3483634	0.6638855847
1763.3333333333	-0.0020059019	7.407433251	7.4628577	0.6461412171
1763.4166666667	-0.0019943969	7.1965580053	7.3835149	0.6193415099
1763.5	-0.0019827074	6.9916859686	7.5232482	0.7069570405
1763.5833333333	-0.0019708323	6.792646241	7.7461724	0.7366563184
1763.6666666667	-0.0019587705	6.5992727881	7.9839587	0.7680191778
1763.75	-0.0019465209	6.411404302	8.1711645	0.8123090706
1763.8333333333	-0.0019340823	6.228884067	8.2003489	0.8072732132
1763.9166666667	-0.0019214535	6.0515598289	8.3388815	0.747755731
1764	-0.0019086335	5.8792836675	8.3948975	0.7149939586
1764.0833333333	-0.0018956211	5.7119118741	8.4486609	0.6174860629
