# Two-year exponential half-life, and monthly interpolation
# Note: The exponential is a proxy for the environmental impact, the
# actual sulfate disspates more quickly than this timescale.
#
# Year    Volcanic
1742.125    1.1159017792
1742.2083333333 1.0841342217
1742.2916666667 1.0532710249
1742.375    1.0232864434
1742.4583333333 0.9941554647
1742.5416666667 0.9658537884
1742.625    0.9383578059
1742.7083333333 0.9116445807
1742.7916666667 0.8856918291
1742.875    0.860477902
1742.9583333333 0.8359817664
1743.0416666667 0.8121829883
1743.125    0.7890617152
1743.2083333333 0.7665986599
1743.2916666667 0.7447750841
1743.375    0.7235727832
1743.4583333333 0.7029740706
1743.5416666667 0.6829617634
1743.625    0.6635191677
1743.7083333333 0.644630065
1743.7916666667 0.6262786984
1743.875    0.6084497596
1743.9583333333 0.591128376
1744.0416666667 0.5743000986
1744.125    0.5579508896
1744.2083333333 0.5420671108
1744.2916666667 0.5266355124
1744.375    0.5116432217
1744.4583333333 0.4970777323
1744.5416666667 0.4829268942
1744.625    0.469178903
1744.7083333333 0.4558222903
1744.7916666667 0.4428459146
1744.875    0.430238951
1744.9583333333 0.4179908832
1745.0416666667 0.4060914942
1745.125    0.3945308576
1745.2083333333 0.3832993299
1745.2916666667 0.3723875421
1745.375    0.3617863916
1745.4583333333 0.3514870353
1745.5416666667 0.3414808817
1745.625    0.3317595839
1745.7083333333 0.3223150325
1745.7916666667 0.3131393492
1745.875    0.3042248798
1745.9583333333 0.295564188
1746.0416666667 0.2871500493
1746.125    0.2789754448
1746.2083333333 0.2710335554
1746.2916666667 0.2633177562
1746.375    0.2558216108
1746.4583333333 0.2485388662
1746.5416666667 0.2414634471
1746.625    0.2345894515
1746.7083333333 0.2279111452
1746.7916666667 0.2214229573
1746.875    0.2151194755
1746.9583333333 0.2089954416
1747.0416666667 0.2030457471
1747.125    0.1972654288
1747.2083333333 0.191649665
1747.2916666667 0.186193771
1747.375    0.1808931958
1747.4583333333 0.1757435177
1747.5416666667 0.1707404409
1747.625    0.1658797919
1747.7083333333 0.1611575163
1747.7916666667 0.1565696746
1747.875    0.1521124399
1747.9583333333 0.147782094
1748.0416666667 0.1435750247
1748.125    0.1394877224
1748.2083333333 0.1355167777
1748.2916666667 0.1316588781
1748.375    0.1279108054
1748.4583333333 0.1242694331
1748.5416666667 0.1207317235
1748.625    0.1172947257
1748.7083333333 0.1139555726
1748.7916666667 0.1107114786
1748.875    0.1075597377
1748.9583333333 0.1044977208
1749.0416666667 0.1015228735
1749.125    0.0986327144
1749.2083333333 0.0958248325
1749.2916666667 0.0930968855
1749.375    0.0904465979
1749.4583333333 0.0878717588
1749.5416666667 0.0853702204
1749.625    0.082939896
1749.7083333333 0.0805787581
1749.7916666667 0.0782848373
1749.875    0.0760562199
1749.9583333333 0.073891047
1750.0416666667 0.0717875123
1750.125    0.0697438612
1750.2083333333 0.0677583889
1750.2916666667 0.0658294391
1750.375    0.0639554027
1750.4583333333 0.0621347165
1750.5416666667 0.0603658618
1750.625    0.0586473629
1750.7083333333 0.0569777863
1750.7916666667 0.0553557393
1750.875    0.0537798689
1750.9583333333 0.0522488604
1751.0416666667 0.0507614368
1751.125    0.0493163572
1751.2083333333 0.0479124162
1751.2916666667 0.0465484428
1751.375    0.0452232989
1751.4583333333 0.0439358794
1751.5416666667 0.0426851102
1751.625    0.041469948
1751.7083333333 0.0402893791
1751.7916666667 0.0391424187
1751.875    0.03802811
1751.9583333333 0.0369455235
1752.0416666667 0.0358937562
1752.125    0.0348719306
1752.2083333333 0.0338791944
1752.2916666667 0.0329147195
1752.375    0.0319777014
1752.4583333333 0.0310673583
1752.5416666667 0.0301829309
1752.625    0.0293236814
1752.7083333333 0.0284888931
1752.7916666667 0.0276778697
1752.875    0.0268899344
1752.9583333333 0.0261244302
1753.0416666667 0.0253807184
1753.125    0.0246581786
1753.2083333333 0.0239562081
1753.2916666667 0.0232742214
1753.375    0.0226116495
1753.4583333333 0.0219679397
1753.5416666667 0.0213425551
1753.625    0.020734974
1753.7083333333 0.0201446895
1753.7916666667 0.0195712093
1753.875    0.019014055
1753.9583333333 0.0184727618
1754.0416666667 0.0179468781
1754.125    0.0174359653
1754.2083333333 0.0169395972
1754.2916666667 0.0164573598
1754.375    0.0159888507
1754.4583333333 0.0155336791
1754.5416666667 0.0150914654
1754.625    0.0146618407
1754.7083333333 0.0142444466
1754.7916666667 0.0138389348
1754.875    0.0134449672
1754.9583333333 0.0130622151
1755.0416666667 0.0126903592
1755.125    0.0123290893
1755.2083333333 0.0119781041
1755.2916666667 0.0116371107
1755.375    0.0113058247
1755.4583333333 0.0109839699
1755.5416666667 7.8594974717
1755.625    7.6357528352
1755.7083333333 7.4183777741
1755.7916666667 7.2071909591
1755.875    7.0020162228
1755.9583333333 6.8026824129
1756.0416666667 6.6090232496
1756.125    6.4208771869
1756.2083333333 6.2380872773
1756.2916666667 6.0605010416
1756.375    5.8879703413
1756.4583333333 5.7203512551
1756.5416666667 5.557503959
1756.625    5.3992926092
1756.7083333333 5.2455852295
1756.7916666667 5.0962536005
