# Berkeley Interpolated
#
# Year    CO2 (ppm)
1709.0416666667 277.1653176882
1709.125    277.1641933403
1709.2083333333 277.1630693238
1709.2916666667 277.161945639
1709.375    277.1608222859
1709.4583333333 277.1596992648
1709.5416666667 277.1585765759
1709.625    277.1574542194
1709.7083333333 277.1563321954
1709.7916666667 277.1552105041
1709.875    277.1540891458
1709.9583333333 277.1529681206
1710.0416666667 277.1518474287
1710.125    277.1507270702
1710.2083333333 277.1496070455
1710.2916666667 277.1484873546
1710.375    277.1473679978
1710.4583333333 277.1462489752
1710.5416666667 277.145130287
1710.625    277.1440119335
1710.7083333333 277.1428939148
1710.7916666667 277.141776231
1710.875    277.1406588825
1710.9583333333 277.1395418693
1711.0416666667 277.1384251917
1711.125    277.1373088498
1711.2083333333 277.1361928439
1711.2916666667 277.135077174
1711.375    277.1339618405
1711.4583333333 277.1328468435
1711.5416666667 277.1317321832
1711.625    277.1306178598
1711.7083333333 277.1295038734
1711.7916666667 277.1283902243
1711.875    277.1272769126
1711.9583333333 277.1261639385
1712.0416666667 277.1250513023
1712.125    277.1239390041
1712.2083333333 277.122827044
1712.2916666667 277.1217154223
1712.375    277.1206041393
1712.4583333333 277.1194931949
1712.5416666667 277.1183825895
1712.625    277.1172723233
1712.7083333333 277.1161623963
1712.7916666667 277.1150528089
1712.875    277.1139435612
1712.9583333333 277.1128346533
1713.0416666667 277.1117260855
1713.125    277.110617858
1713.2083333333 277.109509971
1713.2916666667 277.1084024245
1713.375    277.1072952189
1713.4583333333 277.1061883544
1713.5416666667 277.105081831
1713.625    277.103975649
1713.7083333333 277.1028698086
1713.7916666667 277.1017643099
1713.875    277.1006591532
1713.9583333333 277.0995543387
1714.0416666667 277.0984498664
1714.125    277.0973457367
1714.2083333333 277.0962419498
1714.2916666667 277.0951385057
1714.375    277.0940354046
1714.4583333333 277.0929326469
1714.5416666667 277.0918302326
1714.625    277.090728162
1714.7083333333 277.0896264352
1714.7916666667 277.0885250524
1714.875    277.0874240138
1714.9583333333 277.0863233196
1715.0416666667 277.0852229701
1715.125    277.0841229653
1715.2083333333 277.0830233054
1715.2916666667 277.0819239907
1715.375    277.0808250214
1715.4583333333 277.0797263976
1715.5416666667 277.0786281195
1715.625    277.0775301873
1715.7083333333 277.0764326011
1715.7916666667 277.0753353613
1715.875    277.074238468
1715.9583333333 277.0731419213
1716.0416666667 277.0720457214
1716.125    277.0709498686
1716.2083333333 277.069854363
1716.2916666667 277.0687592048
1716.375    277.0676643942
1716.4583333333 277.0665699314
1716.5416666667 277.0654758166
1716.625    277.0643820499
1716.7083333333 277.0632886316
1716.7916666667 277.0621955618
1716.875    277.0611028407
1716.9583333333 277.0600104686
1717.0416666667 277.0589184455
1717.125    277.0578267718
1717.2083333333 277.0567354475
1717.2916666667 277.0556444729
1717.375    277.0545538481
1717.4583333333 277.0534635734
1717.5416666667 277.052373649
1717.625    277.0512840749
1717.7083333333 277.0501948514
1717.7916666667 277.0491059788
1717.875    277.0480174571
1717.9583333333 277.0469292866
1718.0416666667 277.0458414675
1718.125    277.0447539999
1718.2083333333 277.043666884
1718.2916666667 277.0425801201
1718.375    277.0414937082
1718.4583333333 277.0404076487
1718.5416666667 277.0393219417
1718.625    277.0382365873
1718.7083333333 277.0371515858
1718.7916666667 277.0360669374
1718.875    277.0349826422
1718.9583333333 277.0338987004
1719.0416666667 277.0328151122
1719.125    277.0317318779
1719.2083333333 277.0306489975
1719.2916666667 277.0295664713
1719.375    277.0284842995
1719.4583333333 277.0274024823
1719.5416666667 277.0263210198
1719.625    277.0252399122
1719.7083333333 277.0241591597
1719.7916666667 277.0230787626
1719.875    277.0219987209
1719.9583333333 277.020919035
1720.0416666667 277.0198397049
1720.125    277.0187607309
1720.2083333333 277.0176821131
1720.2916666667 277.0166038518
1720.375    277.015525947
1720.4583333333 277.0144483992
1720.5416666667 277.0133712083
1720.625    277.0122943746
1720.7083333333 277.0112178982
1720.7916666667 277.0101417795
1720.875    277.0090660185
1720.9583333333 277.0079906154
1721.0416666667 277.0069155705
1721.125    277.0058408839
1721.2083333333 277.0047665558
1721.2916666667 277.0036925863
1721.375    277.0026189758
1721.4583333333 277.0015457244
1721.5416666667 277.0004728322
1721.625    276.9994002994
1721.7083333333 276.9983281263
1721.7916666667 276.997256313
1721.875    276.9961848598
1721.9583333333 276.9951137667
1722.0416666667 276.994043034
1722.125    276.9929726619
1722.2083333333 276.9919026505
1722.2916666667 276.9908330001
1722.375    276.9897637109
1722.4583333333 276.988694783
1722.5416666667 276.9876262166
1722.625    276.9865580119
1722.7083333333 276.9854901691
1722.7916666667 276.9844226883
1722.875    276.9833555699
1722.9583333333 276.9822888139
1723.0416666667 276.9812224205
1723.125    276.98015639
1723.2083333333 276.9790907225
1723.2916666667 276.9780254182
1723.375    276.9769604773
1723.4583333333 276.9758959
1723.5416666667 276.9748316865
1723.625    276.9737678369
1723.7083333333 276.9727043515
1723.7916666667 276.9716412304
1723.875    276.9705784738
1723.9583333333 276.969516082
1724.0416666667 276.9684540551
1724.125    276.9673923932
1724.2083333333 276.9663310966
1724.2916666667 276.9652701655
1724.375    276.9642096001
1724.4583333333 276.9631494005
1724.5416666667 276.9620895669
1724.625    276.9610300995
1724.7083333333 276.9599709986
1724.7916666667 276.9589122642
1724.875    276.9578538967
1724.9583333333 276.9567958961
1725.0416666667 276.9557382626
1725.125    276.9546809966
1725.2083333333 276.953624098
1725.2916666667 276.9525675672
1725.375    276.9515114043
1725.4583333333 276.9504556094
1725.5416666667 276.9494001829
1725.625    276.9483451249
1725.7083333333 276.9472904355
1725.7916666667 276.9462361149
1725.875    276.9451821635
1725.9583333333 276.9441285812
1726.0416666667 276.9430753683
1726.125    276.9420225251
1726.2083333333 276.9409700516
1726.2916666667 276.9399179482
1726.375    276.9388662149
1726.4583333333 276.9378148519
1726.5416666667 276.9367638595
1726.625    276.9357132379
1726.7083333333 276.9346629871
1726.7916666667 276.9336131075
1726.875    276.9325635992
1726.9583333333 276.9315144623
1727.0416666667 276.9304656972
1727.125    276.9294173039
1727.2083333333 276.9283692826
1727.2916666667 276.9273216336
1727.375    276.926274357
1727.4583333333 276.925227453
1727.5416666667 276.9241809218
1727.625    276.9231347636
1727.7083333333 276.9220889786
1727.7916666667 276.921043567
1727.875    276.9199985289
1727.9583333333 276.9189538646
1728.0416666667 276.9179095742
1728.125    276.9168656579
1728.2083333333 276.9158221159
1728.2916666667 276.9147789484
1728.375    276.9137361556
1728.4583333333 276.9126937377
1728.5416666667 276.9116516948
1728.625    276.9106100272
1728.7083333333 276.909568735
1728.7916666667 276.9085278184
1728.875    276.9074872777
1728.9583333333 276.9064471129
1729.0416666667 276.9054073244
1729.125    276.9043679122
1729.2083333333 276.9033288765
1729.2916666667 276.9022902177
1729.375    276.9012519358
1729.4583333333 276.900214031
1729.5416666667 276.8991765035
1729.625    276.8981393535
1729.7083333333 276.8971025812
1729.7916666667 276.8960661868
1729.875    276.8950301705
1729.9583333333 276.8939945324
1730.0416666667 276.8929592728
1730.125    276.8919243918
1730.2083333333 276.8908898896
1730.2916666667 276.8898557665
1730.375    276.8888220225
1730.4583333333 276.8877886579
1730.5416666667 276.8867556729
1730.625    276.8857230677
1730.7083333333 276.8846908424
1730.7916666667 276.8836589972
1730.875    276.8826275324
1730.9583333333 276.8815964481
1731.0416666667 276.8805657445
1731.125    276.8795354218
1731.2083333333 276.8785054801
1731.2916666667 276.8774759198
1731.375    276.8764467409
1731.4583333333 276.8754179436
1731.5416666667 276.8743895282
1731.625    276.8733614947
1731.7083333333 276.8723338435
1731.7916666667 276.8713065747
1731.875    276.8702796885
1731.9583333333 276.869253185
1732.0416666667 276.8682270645
1732.125    276.8672013272
1732.2083333333 276.8661759732
1732.2916666667 276.8651510027
1732.375    276.8641264159
1732.4583333333 276.863102213
1732.5416666667 276.8620783942
1732.625    276.8610549597
1732.7083333333 276.8600319097
1732.7916666667 276.8590092443
1732.875    276.8579869637
1732.9583333333 276.8569650682
1733.0416666667 276.8559435579
1733.125    276.854922433
1733.2083333333 276.8539016937
1733.2916666667 276.8528813402
1733.375    276.8518613726
1733.4583333333 276.8508417912
1733.5416666667 276.8498225961
1733.625    276.8488037876
1733.7083333333 276.8477853658
1733.7916666667 276.8467673309
1733.875    276.8457496832
1733.9583333333 276.8447324227
1734.0416666667 276.8437155496
1734.125    276.8426990643
1734.2083333333 276.8416829668
1734.2916666667 276.8406672573
1734.375    276.839651936
1734.4583333333 276.8386370032
1734.5416666667 276.837622459
1734.625    276.8366083035
1734.7083333333 276.8355945371
1734.7916666667 276.8345811598
1734.875    276.8335681719
1734.9583333333 276.8325555735
1735.0416666667 276.8315433648
1735.125    276.8305315461
1735.2083333333 276.8295201174
1735.2916666667 276.8285090791
1735.375    276.8274984312
1735.4583333333 276.8264881741
1735.5416666667 276.8254783077
1735.625    276.8244688325
1735.7083333333 276.8234597484
1735.7916666667 276.8224510558
1735.875    276.8214427548
1735.9583333333 276.8204348456
1736.0416666667 276.8194273284
1736.125    276.8184202034
1736.2083333333 276.8174134707
1736.2916666667 276.8164071306
1736.375    276.8154011832
1736.4583333333 276.8143956288
1736.5416666667 276.8133904675
1736.625    276.8123856995
1736.7083333333 276.8113813249
1736.7916666667 276.8103773441
1736.875    276.8093737571
1736.9583333333 276.8083705642
1737.0416666667 276.8073677655
1737.125    276.8063653613
1737.2083333333 276.8053633517
1737.2916666667 276.8043617369
1737.375    276.8033605171
1737.4583333333 276.8023596925
1737.5416666667 276.8013592632
1737.625    276.8003592295
1737.7083333333 276.7993595916
1737.7916666667 276.7983603496
1737.875    276.7973615038
1737.9583333333 276.7963630542
1738.0416666667 276.7953650012
1738.125    276.7943673448
1738.2083333333 276.7933700853
1738.2916666667 276.7923732229
1738.375    276.7913767578
1738.4583333333 276.7903806901
1738.5416666667 276.78938502
1738.625    276.7883897478
1738.7083333333 276.7873948735
1738.7916666667 276.7864003975
1738.875    276.7854063198
1738.9583333333 276.7844126407
1739.0416666667 276.7834193604
1739.125    276.782426479
1739.2083333333 276.7814339967
1739.2916666667 276.7804419138
1739.375    276.7794502304
1739.4583333333 276.7784589467
1739.5416666667 276.7774680629
1739.625    276.7764775791
1739.7083333333 276.7754874957
1739.7916666667 276.7744978126
1739.875    276.7735085303
1739.9583333333 276.7725196487
1740.0416666667 276.7715311682
1740.125    276.7705430888
1740.2083333333 276.7695554109
1740.2916666667 276.7685681345
1740.375    276.76758126
1740.4583333333 276.7665947873
1740.5416666667 276.7656087169
1740.625    276.7646230487
1740.7083333333 276.7636377831
1740.7916666667 276.7626529202
1740.875    276.7616684602
1740.9583333333 276.7606844032
1741.0416666667 276.7597007496
1741.125    276.7587174994
1741.2083333333 276.7577346529
1741.2916666667 276.7567522102
1741.375    276.7557701715
1741.4583333333 276.754788537
1741.5416666667 276.753807307
1741.625    276.7528264815
1741.7083333333 276.7518460609
1741.7916666667 276.7508660451
1741.875    276.7498864346
1741.9583333333 276.7489072294
1742.0416666667 276.7479284297
1742.125    276.7469500357
1742.2083333333 276.7459720477
1742.2916666667 276.7449944657
1742.375    276.7440172901
1742.4583333333 276.7430405209
1742.5416666667 276.7420641583
1742.625    276.7410882026
1742.7083333333 276.740112654
1742.7916666667 276.7391375126
1742.875    276.7381627785
1742.9583333333 276.7371884521
1743.0416666667 276.7362145335
1743.125    276.7352410229
1743.2083333333 276.7342679204
1743.2916666667 276.7332952262
1743.375    276.7323229407
1743.4583333333 276.7313510638
1743.5416666667 276.7303795959
1743.625    276.729408537
1743.7083333333 276.7284378875
1743.7916666667 276.7274676474
1743.875    276.7264978171
1743.9583333333 276.7255283965
1744.0416666667 276.724559386
1744.125    276.7235907858
1744.2083333333 276.722622596
1744.2916666667 276.7216548168
1744.375    276.7206874483
1744.4583333333 276.7197204909
1744.5416666667 276.7187539447
1744.625    276.7177878098
1744.7083333333 276.7168220864
1744.7916666667 276.7158567748
1744.875    276.7148918752
1744.9583333333 276.7139273876
1745.0416666667 276.7129633124
1745.125    276.7119996496
1745.2083333333 276.7110363995
1745.2916666667 276.7100735623
1745.375    276.7091111382
1745.4583333333 276.7081491272
1745.5416666667 276.7071875298
1745.625    276.7062263459
1745.7083333333 276.7052655759
1745.7916666667 276.7043052198
1745.875    276.7033452779
1745.9583333333 276.7023857504
1746.0416666667 276.7014266375
1746.125    276.7004679393
1746.2083333333 276.6995096561
1746.2916666667 276.6985517879
1746.375    276.6975943351
1746.4583333333 276.6966372978
